,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Sur1 1,CPS_Sur1 1,Background_Sur1 1
1169,12976.5,12976.5
1168.6,12682.4,12682.4
1168.2,12655.9,12655.9
1167.8,12429.4,12429.4
1167.4,12658.8,12658.8
1167,12623.5,12623.5
1166.6,12876.5,12876.5
1166.2,12947.1,12947.1
1165.8,12876.5,12876.5
1165.4,12723.5,12723.5
1165,12791.2,12791.2
1164.6,13135.3,13135.3
1164.2,12832.4,12832.4
1163.8,12873.5,12873.5
1163.4,13105.9,13105.9
1163,12714.7,12714.7
1162.6,12847.1,12847.1
1162.2,12520.6,12520.6
1161.8,12961.8,12961.8
1161.4,12870.6,12870.6
1161,12829.4,12829.4
1160.6,12873.5,12873.5
1160.2,12864.7,12864.7
1159.8,13423.5,13423.5
1159.4,13273.5,13273.5
1159,13067.6,13067.6
1158.6,12950,12950
1158.2,13332.4,13332.4
1157.8,13220.6,13220.6
1157.4,13147.1,13147.1
1157,13150,13150
1156.6,13232.4,13232.4
1156.2,12947.1,12947.1
1155.8,13102.9,13102.9
1155.4,13029.4,13029.4
1155,13405.9,13405.9
1154.6,13191.2,13191.2
1154.2,13167.6,13167.6
1153.8,13261.8,13261.8
1153.4,13150,13150
1153,13379.4,13379.4
1152.6,13217.6,13217.6
1152.2,13341.2,13341.2
1151.8,13055.9,13055.9
1151.4,13288.2,13288.2
1151,12888.2,12888.2
1150.6,13629.4,13629.4
1150.2,13341.2,13341.2
1149.8,13144.1,13144.1
1149.4,13044.1,13044.1
1149,13311.8,13311.8
1148.6,13247.1,13247.1
1148.2,13241.2,13241.2
1147.8,13258.8,13258.8
1147.4,13305.9,13305.9
1147,13120.6,13120.6
1146.6,13426.5,13426.5
1146.2,13317.6,13317.6
1145.8,13502.9,13502.9
1145.4,13497.1,13497.1
1145,13150,13150
1144.6,13432.4,13432.4
1144.2,13161.8,13161.8
1143.8,13276.5,13276.5
1143.4,13408.8,13408.8
1143,13450,13450
1142.6,13494.1,13494.1
1142.2,13632.4,13632.4
1141.8,13682.4,13682.4
1141.4,13208.8,13208.8
1141,13441.2,13441.2
1140.6,13308.8,13308.8
1140.2,13482.4,13482.4
1139.8,13411.8,13411.8
1139.4,13623.5,13623.5
1139,13658.8,13658.8
1138.6,13538.2,13538.2
1138.2,13411.8,13411.8
1137.8,13570.6,13570.6
1137.4,13667.6,13667.6
1137,13388.2,13388.2
1136.6,13752.9,13752.9
1136.2,13691.2,13691.2
1135.8,13808.8,13808.8
1135.4,13579.4,13579.4
1135,13532.4,13532.4
1134.6,13661.8,13661.8
1134.2,13908.8,13908.8
1133.8,13547.1,13547.1
1133.4,13994.1,13994.1
1133,14117.6,14117.6
1132.6,13823.5,13823.5
1132.2,13894.1,13894.1
1131.8,13900,13900
1131.4,14047.1,14047.1
1131,13902.9,13902.9
1130.6,14129.4,14129.4
1130.2,13905.9,13905.9
1129.8,13655.9,13655.9
1129.4,13841.2,13841.2
1129,13817.6,13817.6
1128.6,13850,13850
1128.2,14088.2,14088.2
1127.8,13914.7,13914.7
1127.4,13991.2,13991.2
1127,14150,14150
1126.6,14400,14400
1126.2,14064.7,14064.7
1125.8,14373.5,14373.5
1125.4,14085.3,14085.3
1125,14329.4,14329.4
1124.6,14229.4,14229.4
1124.2,14223.5,14223.5
1123.8,13847.1,13847.1
1123.4,13926.5,13926.5
1123,14129.4,14129.4
1122.6,14220.6,14220.6
1122.2,14085.3,14085.3
1121.8,13976.5,13976.5
1121.4,14205.9,14205.9
1121,14205.9,14205.9
1120.6,14073.5,14073.5
1120.2,14167.6,14167.6
1119.8,14264.7,14264.7
1119.4,14267.6,14267.6
1119,14111.8,14111.8
1118.6,14582.4,14582.4
1118.2,14391.2,14391.2
1117.8,13944.1,13944.1
1117.4,14476.5,14476.5
1117,14350,14350
1116.6,14376.5,14376.5
1116.2,14376.5,14376.5
1115.8,14079.4,14079.4
1115.4,14258.8,14258.8
1115,13920.6,13920.6
1114.6,14667.6,14667.6
1114.2,14111.8,14111.8
1113.8,14344.1,14344.1
1113.4,14564.7,14564.7
1113,14585.3,14585.3
1112.6,14379.4,14379.4
1112.2,14802.9,14802.9
1111.8,14144.1,14144.1
1111.4,14135.3,14135.3
1111,14764.7,14764.7
1110.6,14679.4,14679.4
1110.2,14558.8,14558.8
1109.8,14679.4,14679.4
1109.4,15035.3,15035.3
1109,14688.2,14688.2
1108.6,14547.1,14547.1
1108.2,14800,14800
1107.8,14767.6,14767.6
1107.4,14900,14900
1107,15202.9,15202.9
1106.6,14800,14800
1106.2,14655.9,14655.9
1105.8,14691.2,14691.2
1105.4,14500,14500
1105,14870.6,14870.6
1104.6,14888.2,14888.2
1104.2,14670.6,14670.6
1103.8,14750,14750
1103.4,14629.4,14629.4
1103,14532.4,14532.4
1102.6,14535.3,14535.3
1102.2,14567.6,14567.6
1101.8,14702.9,14702.9
1101.4,14529.4,14529.4
1101,14473.5,14473.5
1100.6,14538.2,14538.2
1100.2,14764.7,14764.7
1099.8,14800,14800
1099.4,14211.8,14211.8
1099,14947.1,14947.1
1098.6,14029.4,14029.4
1098.2,14761.8,14761.8
1097.8,14544.1,14544.1
1097.4,14550,14550
1097,14214.7,14214.7
1096.6,14614.7,14614.7
1096.2,14094.1,14094.1
1095.8,13967.6,13967.6
1095.4,14191.2,14191.2
1095,14438.2,14438.2
1094.6,14467.6,14467.6
1094.2,14494.1,14494.1
1093.8,14711.8,14711.8
1093.4,14214.7,14214.7
1093,14488.2,14488.2
1092.6,14220.6,14220.6
1092.2,14347.1,14347.1
1091.8,14361.8,14361.8
1091.4,14223.5,14223.5
1091,14408.8,14408.8
1090.6,14532.4,14532.4
1090.2,14576.5,14576.5
1089.8,15047.1,15047.1
1089.4,14397.1,14397.1
1089,14352.9,14352.9
1088.6,14700,14700
1088.2,14458.8,14458.8
1087.8,14305.9,14305.9
1087.4,14873.5,14873.5
1087,14520.6,14520.6
1086.6,14720.6,14720.6
1086.2,14705.9,14705.9
1085.8,14752.9,14752.9
1085.4,14641.2,14641.2
1085,14350,14350
1084.6,14729.4,14729.4
1084.2,14697.1,14697.1
1083.8,15108.8,15108.8
1083.4,14676.5,14676.5
1083,14620.6,14620.6
1082.6,14976.5,14976.5
1082.2,14452.9,14452.9
1081.8,14961.8,14961.8
1081.4,14835.3,14835.3
1081,14944.1,14944.1
1080.6,14832.4,14832.4
1080.2,15185.3,15185.3
1079.8,14482.4,14482.4
1079.4,15091.2,15091.2
1079,14876.5,14876.5
1078.6,14832.4,14832.4
1078.2,14861.8,14861.8
1077.8,15038.2,15038.2
1077.4,15032.4,15032.4
1077,14700,14700
1076.6,14417.6,14417.6
1076.2,14941.2,14941.2
1075.8,15085.3,15085.3
1075.4,14538.2,14538.2
1075,15305.9,15305.9
1074.6,14758.8,14758.8
1074.2,15067.6,15067.6
1073.8,15200,15200
1073.4,15211.8,15211.8
1073,14858.8,14858.8
1072.6,14994.1,14994.1
1072.2,15279.4,15279.4
1071.8,15250,15250
1071.4,14988.2,14988.2
1071,15023.5,15023.5
1070.6,14938.2,14938.2
1070.2,15023.5,15023.5
1069.8,14964.7,14964.7
1069.4,15255.9,15255.9
1069,15023.5,15023.5
1068.6,15197.1,15197.1
1068.2,14917.6,14917.6
1067.8,15417.6,15417.6
1067.4,15385.3,15385.3
1067,15952.9,15952.9
1066.6,15291.2,15291.2
1066.2,15282.4,15282.4
1065.8,14891.2,14891.2
1065.4,15335.3,15335.3
1065,15152.9,15152.9
1064.6,15505.9,15505.9
1064.2,15517.6,15517.6
1063.8,15202.9,15202.9
1063.4,15282.4,15282.4
1063,15473.5,15473.5
1062.6,15617.6,15617.6
1062.2,15585.3,15585.3
1061.8,15332.4,15332.4
1061.4,15552.9,15552.9
1061,15738.2,15738.2
1060.6,15538.2,15538.2
1060.2,15682.4,15682.4
1059.8,15529.4,15529.4
1059.4,15776.5,15776.5
1059,14902.9,14902.9
1058.6,15414.7,15414.7
1058.2,15520.6,15520.6
1057.8,16100,16100
1057.4,15852.9,15852.9
1057,15620.6,15620.6
1056.6,15411.8,15411.8
1056.2,15638.2,15638.2
1055.8,15520.6,15520.6
1055.4,15988.2,15988.2
1055,15808.8,15808.8
1054.6,15950,15950
1054.2,16097.1,16097.1
1053.8,15461.8,15461.8
1053.4,15994.1,15994.1
1053,15558.8,15558.8
1052.6,15829.4,15829.4
1052.2,15535.3,15535.3
1051.8,15964.7,15964.7
1051.4,15655.9,15655.9
1051,15911.8,15911.8
