Binding Energy/eV,Intensity
1142.0,12976.5
1141.6,13079.4
1141.2,13473.5
1140.8,13020.6
1140.4,13061.8
1140.0,12661.8
1139.6,13061.8
1139.2,12964.7
1138.8,12970.6
1138.4,12823.5
1138.0,13085.3
1137.6,12832.4
1137.2,12982.4
1136.8,12744.1
1136.4,12876.5
1136.0,13488.2
1135.6,13073.5
1135.2,13379.4
1134.8,13291.2
1134.4,12938.2
1134.0,13323.5
1133.6,13429.4
1133.2,13335.3
1132.8,13055.9
1132.4,13520.6
1132.0,13391.2
1131.6,13605.9
1131.2,13441.2
1130.8,13176.5
1130.4,13388.2
1130.0,13494.1
1129.6,13564.7
1129.2,13570.6
1128.8,13317.6
1128.4,13450.0
1128.0,13632.4
1127.6,13729.4
1127.2,13629.4
1126.8,14091.2
1126.4,13432.4
1126.0,13805.9
1125.6,13579.4
1125.2,13791.2
1124.8,13573.5
1124.4,13785.3
1124.0,13658.8
1123.6,13920.6
1123.2,14120.6
1122.8,13800.0
1122.4,13352.9
1122.0,14076.5
1121.6,13758.8
1121.2,13920.6
1120.8,14185.3
1120.4,13873.5
1120.0,13429.4
1119.6,13847.1
1119.2,13867.6
1118.8,13694.1
1118.4,13873.5
1118.0,13355.9
1117.6,13547.1
1117.2,13926.5
1116.8,13988.2
1116.4,13626.5
1116.0,14000.0
1115.6,13485.3
1115.2,13950.0
1114.8,13720.6
1114.4,13855.9
1114.0,13917.6
1113.6,14176.5
1113.2,13888.2
1112.8,13988.2
1112.4,14300.0
1112.0,13855.9
1111.6,14338.2
1111.2,14135.3
1110.8,14144.1
1110.4,14282.4
1110.0,14238.2
1109.6,13917.6
1109.2,14108.8
1108.8,14479.4
1108.4,14429.4
1108.0,14173.5
1107.6,14058.8
1107.2,14391.2
1106.8,14185.3
1106.4,14597.1
1106.0,14802.9
1105.6,14747.1
1105.2,14552.9
1104.8,14014.7
1104.4,14617.6
1104.0,14558.8
1103.6,14623.5
1103.2,14508.8
1102.8,14691.2
1102.4,14326.5
1102.0,14191.2
1101.6,14100.0
1101.2,14308.8
1100.8,14138.2
1100.4,14179.4
1100.0,14114.7
1099.6,13905.9
1099.2,14123.5
1098.8,14258.8
1098.4,14067.6
1098.0,14247.1
1097.6,13520.6
1097.2,14114.7
1096.8,14100.0
1096.4,14341.2
1096.0,13967.6
1095.6,14211.8
1095.2,14111.8
1094.8,14017.6
1094.4,13905.9
1094.0,14073.5
1093.6,14100.0
1093.2,14255.9
1092.8,13923.5
1092.4,14500.0
1092.0,14138.2
1091.6,14067.6
1091.2,13970.6
1090.8,14144.1
1090.4,14250.0
1090.0,13938.2
1089.6,14288.2
1089.2,14373.5
1088.8,14420.6
1088.4,14529.4
1088.0,14123.5
1087.6,13773.5
1087.2,13867.6
1086.8,14252.9
1086.4,14338.2
1086.0,14288.2
1085.6,14538.2
1085.2,14194.1
1084.8,13979.4
1084.4,14223.5
1084.0,14773.5
1083.6,14414.7
1083.2,14126.5
1082.8,14347.1
1082.4,14617.6
1082.0,14576.5
1081.6,14423.5
1081.2,14379.4
1080.8,14235.3
1080.4,14526.5
1080.0,14488.2
1079.6,14229.4
1079.2,14194.1
1078.8,14400.0
1078.4,14247.1
1078.0,13976.5
1077.6,14523.5
1077.2,14602.9
1076.8,14255.9
1076.4,14767.6
1076.0,14385.3
1075.6,14641.2
1075.2,14623.5
1074.8,14358.8
1074.4,14785.3
1074.0,14320.6
1073.6,14782.4
1073.2,14970.6
1072.8,15064.7
1072.4,15070.6
1072.0,14767.6
1071.6,14888.2
1071.2,14811.8
1070.8,15264.7
1070.4,15385.3
1070.0,14885.3
1069.6,15217.6
1069.2,14985.3
1068.8,14879.4
1068.4,15194.1
1068.0,15094.1
1067.6,14991.2
1067.2,15170.6
1066.8,14961.8
1066.4,15011.8
1066.0,14973.5
1065.6,14711.8
1065.2,15105.9
1064.8,15067.6
1064.4,15011.8
1064.0,14961.8
1063.6,15479.4
1063.2,15229.4
1062.8,15470.6
1062.4,15014.7
1062.0,15461.8
1061.6,14973.5
1061.2,15191.2
1060.8,15052.9
1060.4,15311.8
1060.0,15323.5
1059.6,15511.8
1059.2,15097.1
1058.8,15311.8
1058.4,15385.3
1058.0,15002.9
1057.6,15394.1
1057.2,15729.4
1056.8,15629.4
1056.4,15355.9
1056.0,15485.3
1055.6,15847.1
1055.2,15391.2
1054.8,15685.3
1054.4,15576.5
1054.0,15802.9
1053.6,16055.9
1053.2,15514.7
1052.8,15623.5
1052.4,15570.6
1052.0,15614.7
1051.6,15617.6
1051.2,15605.9
1050.8,15620.6
1050.4,15623.5
1050.0,15720.6
1049.6,15576.5
1049.2,15820.6
1048.8,15973.5
1048.4,15444.1
1048.0,15629.4
1047.6,15923.5
1047.2,15985.3
1046.8,16264.7
1046.4,16364.7
1046.0,15873.5
1045.6,15952.9
1045.2,16294.1
1044.8,16088.2
1044.4,16050.0
1044.0,16270.6
1043.6,16194.1
1043.2,15911.8
1042.8,16114.7
1042.4,15582.4
1042.0,15891.2
1041.6,16082.4
1041.2,15755.9
1040.8,16435.3
1040.4,15947.1
1040.0,16073.5
1039.6,16308.8
1039.2,16394.1
1038.8,16297.1
1038.4,16741.2
1038.0,16511.8
1037.6,16555.9
1037.2,16352.9
1036.8,16341.2
1036.4,16414.7
1036.0,16052.9
1035.6,16679.4
1035.2,16129.4
1034.8,16552.9
1034.4,16447.1
1034.0,16670.6
1033.6,16511.8
1033.2,16494.1
1032.8,16514.7
1032.4,16641.2
1032.0,16502.9
1031.6,16417.6
1031.2,16638.2
1030.8,17011.8
1030.4,16608.8
1030.0,16861.8
1029.6,16844.1
1029.2,16614.7
1028.8,16958.8
1028.4,16732.4
1028.0,16629.4
1027.6,17050.0
1027.2,16867.6
1026.8,16700.0
1026.4,16908.8
1026.0,16623.5
1025.6,16361.8
1025.2,16905.9
1024.8,17094.1
1024.4,16447.1
1024.0,16564.7
1023.6,16729.4
1023.2,17020.6
1022.8,17829.4
1022.4,17100.0
1022.0,17752.9
1021.6,17991.2
