Binding Energy/eV,Intensity
1339.7,22488.2
1339.3,22891.2
1338.9,22702.9
1338.5,22497.1
1338.1,22608.8
1337.7,22841.2
1337.3,22426.5
1336.9,22205.9
1336.5,22347.1
1336.1,22858.8
1335.7,22438.2
1335.3,22435.3
1334.9,21835.3
1334.5,21997.1
1334.1,22226.5
1333.7,21855.9
1333.3,22091.2
1332.9,22082.4
1332.5,22067.6
1332.1,21879.4
1331.7,22067.6
1331.3,21911.8
1330.9,22420.6
1330.5,21944.1
1330.1,22217.6
1329.7,21855.9
1329.3,21461.8
1328.9,21614.7
1328.5,21702.9
1328.1,21902.9
1327.7,21914.7
1327.3,21961.8
1326.9,21508.8
1326.5,21829.4
1326.1,21591.2
1325.7,21791.2
1325.3,21811.8
1324.9,21538.2
1324.5,22323.5
1324.1,21558.8
1323.7,21126.5
1323.3,21767.6
1322.9,21705.9
1322.5,22132.4
1322.1,22038.2
1321.7,21467.6
1321.3,21061.8
1320.9,21802.9
1320.5,21614.7
1320.1,21308.8
1319.7,21476.5
1319.3,21667.6
1318.9,21208.8
1318.5,21632.4
1318.1,22008.8
1317.7,21638.2
1317.3,21117.6
1316.9,21535.3
1316.5,21588.2
1316.1,21529.4
1315.7,21402.9
1315.3,21282.4
1314.9,21623.5
1314.5,21514.7
1314.1,21194.1
1313.7,21497.1
1313.3,21502.9
1312.9,21547.1
1312.5,21829.4
1312.1,21508.8
1311.7,21255.9
1311.3,21476.5
1310.9,21408.8
1310.5,21267.6
1310.1,21670.6
1309.7,21423.5
1309.3,21497.1
1308.9,21785.3
1308.5,21220.6
1308.1,21888.2
1307.7,21982.4
1307.3,21526.5
1306.9,20994.1
1306.5,21417.6
1306.1,21664.7
1305.7,21791.2
1305.3,21367.6
1304.9,21579.4
1304.5,22067.6
1304.1,21473.5
1303.7,21697.1
1303.3,21805.9
1302.9,21826.5
1302.5,21576.5
1302.1,21623.5
1301.7,21735.3
1301.3,21450.0
1300.9,21926.5
1300.5,21670.6
1300.1,21994.1
1299.7,21347.1
1299.3,21814.7
1298.9,21520.6
1298.5,21552.9
1298.1,21723.5
1297.7,22058.8
1297.3,22014.7
1296.9,22361.8
1296.5,21891.2
1296.1,21864.7
1295.7,21341.2
1295.3,22173.5
1294.9,21520.6
1294.5,21473.5
1294.1,21664.7
1293.7,21802.9
1293.3,21638.2
1292.9,21452.9
1292.5,21844.1
1292.1,21850.0
1291.7,21926.5
1291.3,22002.9
1290.9,22161.8
1290.5,21788.2
1290.1,21879.4
1289.7,21900.0
1289.3,22120.6
1288.9,21876.5
1288.5,22161.8
1288.1,22252.9
1287.7,22135.3
1287.3,21773.5
1286.9,21776.5
1286.5,22247.1
1286.1,21852.9
1285.7,21938.2
1285.3,21994.1
1284.9,21985.3
1284.5,22023.5
1284.1,22147.1
1283.7,22294.1
1283.3,22123.5
1282.9,22208.8
1282.5,22511.8
1282.1,21920.6
1281.7,22050.0
1281.3,22070.6
1280.9,22264.7
1280.5,22055.9
1280.1,22061.8
1279.7,22791.2
1279.3,22329.4
1278.9,22223.5
1278.5,22382.4
1278.1,22108.8
1277.7,22205.9
1277.3,22200.0
1276.9,22173.5
1276.5,22411.8
1276.1,22652.9
1275.7,22435.3
1275.3,22497.1
1274.9,22414.7
1274.5,21844.1
1274.1,22488.2
1273.7,22447.1
1273.3,22476.5
1272.9,22644.1
1272.5,22702.9
1272.1,22679.4
1271.7,22450.0
1271.3,22470.6
1270.9,22352.9
1270.5,22608.8
1270.1,22776.5
1269.7,22511.8
1269.3,22388.2
1268.9,22170.6
1268.5,22482.4
1268.1,22317.6
1267.7,22941.2
1267.3,22785.3
1266.9,22670.6
1266.5,22544.1
1266.1,22461.8
1265.7,22720.6
1265.3,22623.5
1264.9,22591.2
1264.5,22226.5
1264.1,22758.8
1263.7,22382.4
1263.3,22800.0
1262.9,22941.2
1262.5,22882.4
1262.1,22908.8
1261.7,23191.2
1261.3,23038.2
1260.9,23291.2
1260.5,22861.8
1260.1,23205.9
1259.7,23400.0
1259.3,22767.6
1258.9,23294.1
1258.5,23291.2
1258.1,22623.5
1257.7,23111.8
1257.3,23397.1
1256.9,22747.1
1256.5,23300.0
1256.1,23126.5
1255.7,23097.1
1255.3,23132.4
1254.9,23147.1
1254.5,23600.0
1254.1,23211.8
1253.7,23555.9
1253.3,23585.3
1252.9,23352.9
1252.5,23217.6
1252.1,23523.5
1251.7,23885.3
1251.3,23573.5
1250.9,23511.8
1250.5,23426.5
1250.1,24088.2
1249.7,24105.9
1249.3,23447.1
1248.9,23497.1
1248.5,24238.2
1248.1,23794.1
1247.7,23973.5
1247.3,23782.4
1246.9,24067.6
1246.5,23705.9
1246.1,24370.6
1245.7,23732.4
1245.3,24326.5
1244.9,24076.5
1244.5,23982.4
1244.1,23570.6
1243.7,24144.1
1243.3,24258.8
