Binding Energy/eV,Intensity
1278.6,18404.8
1278.2,18607.1
1277.8,18116.7
1277.4,18150.0
1277.0,18331.0
1276.6,17807.1
1276.2,18723.8
1275.8,18414.3
1275.4,18538.1
1275.0,18583.3
1274.6,18807.1
1274.2,18452.4
1273.8,18295.2
1273.4,18811.9
1273.0,18504.8
1272.6,18988.1
1272.2,18728.6
1271.8,18226.2
1271.4,18361.9
1271.0,18640.5
1270.6,18264.3
1270.2,18542.9
1269.8,18783.3
1269.4,18433.3
1269.0,18647.6
1268.6,18521.4
1268.2,18583.3
1267.8,18583.3
1267.4,18709.5
1267.0,18973.8
1266.6,18557.1
1266.2,18535.7
1265.8,18752.4
1265.4,19126.2
1265.0,18957.1
1264.6,19142.9
1264.2,19021.4
1263.8,18709.5
1263.4,18747.6
1263.0,19140.5
1262.6,19183.3
1262.2,18826.2
1261.8,18747.6
1261.4,18535.7
1261.0,19100.0
1260.6,18845.2
1260.2,18835.7
1259.8,18997.6
1259.4,19385.7
1259.0,18628.6
1258.6,19528.6
1258.2,19100.0
1257.8,19016.7
1257.4,19261.9
1257.0,19209.5
1256.6,19357.1
1256.2,19090.5
1255.8,19019.0
1255.4,19100.0
1255.0,19214.3
1254.6,19147.6
1254.2,19428.6
1253.8,19709.5
1253.4,19302.4
1253.0,19173.8
1252.6,19571.4
1252.2,19897.6
1251.8,19323.8
1251.4,19819.0
1251.0,19602.4
1250.6,20081.0
1250.2,19633.3
1249.8,19852.4
1249.4,19426.2
1249.0,19797.6
1248.6,19811.9
1248.2,19371.4
1247.8,19838.1
1247.4,19838.1
1247.0,19500.0
1246.6,19461.9
1246.2,19492.9
1245.8,19702.4
1245.4,19821.4
1245.0,20026.2
1244.6,20107.1
1244.2,20226.2
1243.8,19902.4
1243.4,20442.9
1243.0,19847.6
1242.6,20221.4
1242.2,19876.2
1241.8,20240.5
1241.4,20454.8
1241.0,20002.4
1240.6,20100.0
1240.2,19878.6
1239.8,19940.5
1239.4,20378.6
1239.0,20223.8
1238.6,20009.5
1238.2,20497.6
1237.8,20071.4
1237.4,20559.5
1237.0,20385.7
1236.6,20083.3
1236.2,20376.2
1235.8,19969.0
1235.4,20245.2
1235.0,20245.2
1234.6,20085.7
1234.2,19940.5
1233.8,20114.3
1233.4,20342.9
1233.0,20688.1
1232.6,20600.0
1232.2,20478.6
1231.8,20664.3
1231.4,20826.2
1231.0,20807.1
1230.6,21069.0
1230.2,20721.4
1229.8,21109.5
1229.4,20959.5
1229.0,21378.6
1228.6,20921.4
1228.2,21504.8
1227.8,21733.3
1227.4,21788.1
1227.0,21488.1
1226.6,21792.9
1226.2,21797.6
1225.8,21631.0
1225.4,21804.8
1225.0,21878.6
1224.6,21116.7
1224.2,21609.5
1223.8,21783.3
1223.4,21714.3
1223.0,21564.3
1222.6,21709.5
1222.2,21426.2
1221.8,21516.7
1221.4,21535.7
1221.0,21038.1
1220.6,21350.0
1220.2,20978.6
1219.8,20666.7
1219.4,21031.0
1219.0,20935.7
1218.6,20788.1
1218.2,20633.3
1217.8,20697.6
1217.4,20378.6
1217.0,20376.2
1216.6,20195.2
1216.2,20240.5
1215.8,20447.6
1215.4,19535.7
1215.0,19659.5
1214.6,19742.9
1214.2,19535.7
1213.8,19535.7
1213.4,19428.6
1213.0,19728.6
1212.6,19311.9
1212.2,18933.3
1211.8,19547.6
1211.4,19221.4
1211.0,19161.9
1210.6,18942.9
1210.2,18923.8
1209.8,18947.6
1209.4,19121.4
1209.0,19152.4
1208.6,19385.7
1208.2,18923.8
1207.8,19331.0
1207.4,19259.5
1207.0,18897.6
1206.6,19454.8
1206.2,19509.5
1205.8,19366.7
1205.4,19500.0
1205.0,19478.6
1204.6,19331.0
1204.2,19226.2
1203.8,18964.3
1203.4,19295.2
1203.0,19447.6
1202.6,19097.6
