Binding Energy/eV,Intensity
1289.4,18807.5
1289.0,18642.5
1288.6,18902.5
1288.2,18867.5
1287.8,18870.0
1287.4,19170.0
1287.0,19210.0
1286.6,18730.0
1286.2,18692.5
1285.8,18795.0
1285.4,19135.0
1285.0,18690.0
1284.6,19297.5
1284.2,18970.0
1283.8,19140.0
1283.4,19545.0
1283.0,18700.0
1282.6,19350.0
1282.2,18890.0
1281.8,18910.0
1281.4,19152.5
1281.0,19192.5
1280.6,19157.5
1280.2,19092.5
1279.8,19167.5
1279.4,18735.0
1279.0,19212.5
1278.6,19130.0
1278.2,19147.5
1277.8,19065.0
1277.4,19220.0
1277.0,19142.5
1276.6,19220.0
1276.2,19460.0
1275.8,19322.5
1275.4,19280.0
1275.0,19397.5
1274.6,19182.5
1274.2,19320.0
1273.8,19210.0
1273.4,19440.0
1273.0,19075.0
1272.6,19442.5
1272.2,19562.5
1271.8,19545.0
1271.4,19482.5
1271.0,19597.5
1270.6,19257.5
1270.2,19557.5
1269.8,19495.0
1269.4,19277.5
1269.0,19375.0
1268.6,19475.0
1268.2,19842.5
1267.8,19582.5
1267.4,19282.5
1267.0,19335.0
1266.6,19450.0
1266.2,20015.0
1265.8,19762.5
1265.4,19710.0
1265.0,19695.0
1264.6,20090.0
1264.2,19810.0
1263.8,19965.0
1263.4,19707.5
1263.0,20042.5
1262.6,19860.0
1262.2,19717.5
1261.8,19387.5
1261.4,19545.0
1261.0,19870.0
1260.6,20095.0
1260.2,20122.5
1259.8,19705.0
1259.4,20490.0
1259.0,20032.5
1258.6,20322.5
1258.2,20002.5
1257.8,19507.5
1257.4,19862.5
1257.0,19830.0
1256.6,20000.0
1256.2,20217.5
1255.8,20362.5
1255.4,20020.0
1255.0,19617.5
1254.6,20590.0
1254.2,20492.5
1253.8,20455.0
1253.4,20415.0
1253.0,20267.5
1252.6,20765.0
1252.2,20262.5
1251.8,20332.5
1251.4,20965.0
1251.0,20327.5
1250.6,20045.0
