Number,Time/s,Voltage/V,Current/A,Current_density/muAcm
4141,5299.0,-0.393625,-3.5472e-06,-3.2247272727272724
4142,5300.0,-0.4,-3.5901e-06,-3.2637272727272726
4143,5302.0,-0.406375,-3.6341e-06,-3.3037272727272726
4144,5303.0,-0.412875,-3.6838e-06,-3.348909090909091
4145,5304.0,-0.41925,-3.738e-06,-3.398181818181818
4146,5306.0,-0.425625,-3.7984e-06,-3.4530909090909088
4147,5307.0,-0.432,-3.8681e-06,-3.516454545454545
4148,5308.0,-0.438375,-3.9449e-06,-3.586272727272727
4149,5309.0,-0.444875,-4.0282e-06,-3.662
4150,5311.0,-0.45125,-4.1176e-06,-3.743272727272728
4151,5312.0,-0.457625,-4.2078e-06,-3.825272727272727
4152,5313.0,-0.464,-4.294e-06,-3.903636363636363
4153,5315.0,-0.4705,-4.3762e-06,-3.978363636363636
4154,5316.0,-0.476875,-4.4461e-06,-4.0419090909090905
4155,5317.0,-0.48325,-4.5057e-06,-4.096090909090909
4156,5318.0,-0.489625,-4.5506e-06,-4.136909090909091
4157,5320.0,-0.496,-4.5853e-06,-4.168454545454545
4158,5321.0,-0.5025,-4.6026e-06,-4.184181818181818
4159,5322.0,-0.508875,-4.603e-06,-4.184545454545454
4160,5324.0,-0.51525,-4.599e-06,-4.180909090909091
4161,5325.0,-0.521625,-4.579e-06,-4.162727272727272
4162,5326.0,-0.528,-4.5498e-06,-4.136181818181818
4163,5327.0,-0.5345,-4.5192e-06,-4.108363636363635
4164,5329.0,-0.540875,-4.4845e-06,-4.076818181818181
4165,5330.0,-0.54725,-4.4467e-06,-4.042454545454545
4166,5331.0,-0.553625,-4.4058e-06,-4.005272727272727
4167,5332.0,-0.56,-4.3666e-06,-3.969636363636363
4168,5334.0,-0.5665,-4.326e-06,-3.932727272727272
4169,5335.0,-0.572875,-4.286e-06,-3.896363636363637
4170,5336.0,-0.57925,-4.2444e-06,-3.858545454545455
4171,5338.0,-0.585625,-4.2054e-06,-3.823090909090908
4172,5339.0,-0.592125,-4.1687e-06,-3.789727272727273
4173,5340.0,-0.5985,-4.136e-06,-3.76
4174,5341.0,-0.604875,-4.1061e-06,-3.732818181818182
4175,5343.0,-0.61125,-4.0779e-06,-3.7071818181818186
4176,5344.0,-0.617625,-4.0525e-06,-3.684090909090908
4177,5345.0,-0.624125,-4.0284e-06,-3.662181818181818
4178,5347.0,-0.6305,-4.0093e-06,-3.644818181818181
4179,5348.0,-0.636875,-3.9919e-06,-3.629
4180,5349.0,-0.64325,-3.9805e-06,-3.618636363636364
4181,5350.0,-0.649625,-3.9713e-06,-3.610272727272727
4182,5352.0,-0.656125,-3.9624e-06,-3.6021818181818186
4183,5353.0,-0.6625,-3.9579e-06,-3.598090909090909
4184,5354.0,-0.668875,-3.9576e-06,-3.5978181818181816
4185,5356.0,-0.67525,-3.9579e-06,-3.598090909090909
