Number,Time/s,Voltage/V,Current/A,Current_density/muAcm
4393,5622.0,-0.9925,-6.671e-06,-6.064545454545455
4394,5623.0,-0.986125,-6.484e-06,-5.894545454545454
4395,5624.0,-0.97975,-6.425e-06,-5.840909090909091
4396,5626.0,-0.973375,-6.39e-06,-5.809090909090909
4397,5627.0,-0.967,-6.404e-06,-5.821818181818181
4398,5628.0,-0.9605,-6.443e-06,-5.857272727272727
4399,5629.0,-0.954125,-6.332e-06,-5.756363636363636
4400,5631.0,-0.94775,-6.165e-06,-5.604545454545455
4401,5632.0,-0.941375,-6.088e-06,-5.534545454545454
4402,5633.0,-0.935,-6.095e-06,-5.54090909090909
4403,5635.0,-0.9285,-6.194e-06,-5.63090909090909
4404,5636.0,-0.922125,-6.081e-06,-5.528181818181817
4405,5637.0,-0.91575,-5.866e-06,-5.332727272727273
4406,5638.0,-0.909375,-5.742e-06,-5.22
4407,5640.0,-0.903,-5.705e-06,-5.186363636363636
4408,5641.0,-0.8965,-5.701e-06,-5.182727272727273
4409,5642.0,-0.890125,-5.772e-06,-5.247272727272727
4410,5644.0,-0.88375,-5.624e-06,-5.112727272727272
4411,5645.0,-0.877375,-5.407e-06,-4.915454545454545
4412,5646.0,-0.870875,-5.203e-06,-4.73
4413,5647.0,-0.8645,-5.214e-06,-4.74
4414,5649.0,-0.858125,-5.272e-06,-4.792727272727272
4415,5650.0,-0.85175,-5.224e-06,-4.749090909090909
4416,5651.0,-0.845375,-4.951e-06,-4.50090909090909
4417,5652.0,-0.838875,-4.751e-06,-4.319090909090909
4418,5654.0,-0.8325,-4.692e-06,-4.265454545454546
4419,5655.0,-0.826125,-4.704e-06,-4.276363636363636
4420,5656.0,-0.81975,-4.693e-06,-4.266363636363636
4421,5658.0,-0.813375,-4.385e-06,-3.9863636363636368
4422,5659.0,-0.806875,-4.21e-06,-3.827272727272727
4423,5660.0,-0.8005,-4.234e-06,-3.8490909090909087
4424,5661.0,-0.794125,-4.306e-06,-3.914545454545454
4425,5663.0,-0.78775,-3.961e-06,-3.6009090909090906
4426,5664.0,-0.78125,-3.785e-06,-3.440909090909091
4427,5665.0,-0.774875,-3.757e-06,-3.415454545454545
4428,5667.0,-0.7685,-3.79e-06,-3.4454545454545453
4429,5668.0,-0.762125,-3.647e-06,-3.315454545454545
4430,5669.0,-0.75575,-3.399e-06,-3.09
4431,5670.0,-0.74925,-3.263e-06,-2.966363636363636
4432,5672.0,-0.742875,-3.259e-06,-2.9627272727272724
4433,5673.0,-0.7365,-3.273e-06,-2.975454545454545
4434,5674.0,-0.730125,-3.123e-06,-2.839090909090909
4435,5676.0,-0.72375,-2.888e-06,-2.625454545454545
4436,5677.0,-0.71725,-2.806e-06,-2.550909090909091
4437,5678.0,-0.710875,-2.768e-06,-2.516363636363636
4438,5679.0,-0.7045,-2.763e-06,-2.5118181818181817
4439,5681.0,-0.698125,-2.619e-06,-2.3809090909090904
4440,5682.0,-0.69175,-2.476e-06,-2.2509090909090905
4441,5683.0,-0.68525,-2.377e-06,-2.1609090909090907
4442,5684.0,-0.678875,-2.423e-06,-2.2027272727272726
4443,5686.0,-0.6725,-2.349e-06,-2.1354545454545453
4444,5687.0,-0.666125,-2.153e-06,-1.957272727272727
4445,5688.0,-0.659625,-2.097e-06,-1.9063636363636365
4446,5690.0,-0.65325,-2.139e-06,-1.9445454545454544
4447,5691.0,-0.646875,-2.05e-06,-1.8636363636363635
4448,5692.0,-0.6405,-1.914e-06,-1.7399999999999995
4449,5693.0,-0.634125,-1.835e-06,-1.668181818181818
4450,5695.0,-0.627625,-1.851e-06,-1.6827272727272726
4451,5696.0,-0.62125,-1.871e-06,-1.7009090909090907
4452,5697.0,-0.614875,-1.655e-06,-1.5045454545454544
