Number,Time/s,Voltage/V,Current/A,Current_density/muAcm
4260,5452.0,-1.155375,-6.974e-06,-6.339999999999999
4261,5453.0,-1.16175,-6.941e-06,-6.31
4262,5454.0,-1.16825,-6.947e-06,-6.315454545454545
4263,5455.0,-1.174625,-6.883e-06,-6.257272727272727
4264,5457.0,-1.181,-6.88e-06,-6.254545454545454
4265,5458.0,-1.187375,-6.782e-06,-6.165454545454545
4266,5459.0,-1.19375,-6.723e-06,-6.111818181818181
4267,5460.0,-1.20025,-6.699e-06,-6.089999999999999
4268,5462.0,-1.206625,-6.691e-06,-6.082727272727272
4269,5463.0,-1.213,-6.69e-06,-6.081818181818182
4270,5464.0,-1.219375,-6.665e-06,-6.059090909090909
4271,5466.0,-1.22575,-6.655e-06,-6.05
4272,5467.0,-1.23225,-6.583e-06,-5.984545454545454
4273,5468.0,-1.238625,-6.557e-06,-5.960909090909091
4274,5469.0,-1.245,-6.498e-06,-5.907272727272727
4275,5471.0,-1.251375,-6.491e-06,-5.900909090909091
4276,5472.0,-1.25775,-6.5e-06,-5.909090909090908
4277,5473.0,-1.26425,-6.503e-06,-5.911818181818181
4278,5475.0,-1.270625,-6.491e-06,-5.900909090909091
4279,5476.0,-1.277,-6.449e-06,-5.862727272727272
4280,5477.0,-1.283375,-6.362e-06,-5.783636363636363
4281,5478.0,-1.289875,-6.367e-06,-5.788181818181818
4282,5480.0,-1.29625,-6.359e-06,-5.78090909090909
4283,5481.0,-1.302625,-6.371e-06,-5.791818181818181
4284,5482.0,-1.309,-6.39e-06,-5.809090909090909
4285,5484.0,-1.315375,-6.357e-06,-5.779090909090908
4286,5485.0,-1.321875,-6.278e-06,-5.707272727272726
4287,5486.0,-1.32825,-6.261e-06,-5.691818181818181
4288,5487.0,-1.334625,-6.298e-06,-5.725454545454545
4289,5489.0,-1.341,-6.342e-06,-5.765454545454545
4290,5490.0,-1.347375,-6.256e-06,-5.687272727272727
4291,5491.0,-1.353875,-6.208e-06,-5.643636363636363
4292,5492.0,-1.36025,-6.24e-06,-5.672727272727273
4293,5494.0,-1.366625,-6.323e-06,-5.748181818181818
4294,5495.0,-1.373,-6.309e-06,-5.735454545454545
4295,5496.0,-1.379375,-6.201e-06,-5.637272727272727
4296,5498.0,-1.385875,-6.162e-06,-5.601818181818182
4297,5499.0,-1.39225,-6.183e-06,-5.62090909090909
4298,5500.0,-1.398625,-6.239e-06,-5.671818181818181
4299,5501.0,-1.405,-6.282e-06,-5.71090909090909
4300,5503.0,-1.4115,-6.14e-06,-5.581818181818181
4301,5504.0,-1.417875,-6.114e-06,-5.558181818181818
4302,5505.0,-1.42425,-6.139e-06,-5.580909090909091
4303,5507.0,-1.430625,-6.174e-06,-5.612727272727272
4304,5508.0,-1.437,-6.203e-06,-5.639090909090908
4305,5509.0,-1.4435,-6.122e-06,-5.5654545454545445
4306,5510.0,-1.449875,-6.067e-06,-5.515454545454545
4307,5512.0,-1.45625,-6.108e-06,-5.552727272727272
4308,5513.0,-1.462625,-6.166e-06,-5.605454545454545
4309,5514.0,-1.469,-6.233e-06,-5.666363636363636
4310,5516.0,-1.4755,-6.125e-06,-5.5681818181818175
